Employee_ID,Full_Name,Department,Job_Title,hire_date,Performance_Rating,Experience_Years,Status,Work_Mode,Salary_INR,city,country,EXPERIENCE_LEVEL,SALARY_BAND
EMP0000001,"Joshua Nguyen",IT,"Software Engineer",2011-08-10,5,14,Resigned,On-site,1585363,Isaacland,Denmark,Senior,"High (15L-25L"
EMP0000002,"Julie Williams",Marketing,"SEO Specialist",2018-03-02,2,7,Active,On-site,847686,Anthonyside,"Costa Rica",Mid_level,"Medium (5L-15L)"
EMP0000003,"Alyssa Martinez",HR,"HR Manager",2023-03-20,1,2,Active,On-site,1430084,"Port Christinaport","Saudi Arabia",Junior,"Medium (5L-15L)"
EMP0000004,"Nicholas Valdez",IT,"Software Engineer",2023-10-12,1,1,Active,On-site,990689,"Port Shelbychester","Antigua and Barbuda",Junior,"Medium (5L-15L)"
EMP0000005,"Joel Hendricks",Operations,"Logistics Coordinator",2024-12-09,5,0,Active,On-site,535082,"Lake Kimberly","Palestinian Territory",Junior,"Medium (5L-15L)"
EMP0000006,"Jason Gardner",Operations,"Logistics Coordinator",2021-02-23,5,4,Active,On-site,641393,Zimmermanstad,Bulgaria,Mid_level,"Medium (5L-15L)"
EMP0000007,"Julie Wright",Finance,"Finance Manager",2016-04-04,2,9,Active,On-site,1383891,Karenfort,"South Africa",Senior,"Medium (5L-15L)"
EMP0000008,"Scott Wilson",Sales,"Account Manager",2020-04-04,2,5,Active,Remote,423091,Moniqueview,"British Virgin Islands",Mid_level,"Low(below 5L)"
EMP0000009,"Cathy Thompson",Finance,"Financial Analyst",2018-05-29,4,7,Resigned,Remote,1138452,"South Catherine",Belize,Mid_level,"Medium (5L-15L)"
EMP0000010,"Maria Yu MD",IT,"Software Engineer",2015-10-08,4,9,Active,Remote,1543102,Brownport,Yemen,Senior,"High (15L-25L"
EMP0000011,"Jordan Haynes",Sales,"Sales Executive",2018-10-27,1,6,Active,On-site,617992,"Lake Katherineland",Gambia,Mid_level,"Medium (5L-15L)"
EMP0000012,"Kevin Lowe",Sales,"Account Manager",2024-07-02,3,1,Resigned,On-site,1111759,"East Kent",Qatar,Junior,"Medium (5L-15L)"
EMP0000013,"Glen Miller",Operations,"Operations Executive",2011-05-03,3,14,Active,On-site,512635,Coreybury,"Libyan Arab Jamahiriya",Senior,"Medium (5L-15L)"
EMP0000014,"Roberto Nguyen",HR,"HR Executive",2020-08-24,4,4,Active,On-site,572479,"South Sandraview",India,Mid_level,"Medium (5L-15L)"
EMP0000015,"Megan Hernandez",Sales,"Account Manager",2016-01-14,5,9,Active,Remote,1158764,"New Royberg",Thailand,Senior,"Medium (5L-15L)"
EMP0000016,"Julie Marshall",Marketing,"SEO Specialist",2021-07-19,5,4,Active,On-site,602022,"Port Phillip",Poland,Mid_level,"Medium (5L-15L)"
EMP0000017,"Robert Martin",Operations,"Logistics Coordinator",2025-05-13,3,0,Resigned,On-site,859025,Laurahaven,Afghanistan,Junior,"Medium (5L-15L)"
EMP0000018,"Mark Rodriguez",Sales,"Sales Director",2016-09-17,3,8,Active,Remote,508563,Maryshire,Botswana,Senior,"Medium (5L-15L)"
EMP0000019,"Samuel Ferguson",IT,"DevOps Engineer",2025-04-05,2,0,Active,On-site,631273,Matthewsville,Ghana,Junior,"Medium (5L-15L)"
EMP0000020,"Donald Hoffman",Marketing,"Content Strategist",2022-04-01,3,3,Resigned,On-site,965154,"South James","New Zealand",Mid_level,"Medium (5L-15L)"
EMP0000021,"Mr. Billy Rodgers DDS",Marketing,"Marketing Executive",2017-10-12,3,7,Terminated,On-site,796532,"West Bryanton","Saint Martin",Mid_level,"Medium (5L-15L)"
EMP0000022,"Kylie May",IT,"DevOps Engineer",2015-07-07,2,10,Active,On-site,723820,Houstonland,Qatar,Senior,"Medium (5L-15L)"
EMP0000023,"James Valdez",R&D,"Research Scientist",2017-10-30,5,7,Retired,On-site,789283,"East Scott",Mauritius,Mid_level,"Medium (5L-15L)"
EMP0000024,"Allen Palmer",Finance,Accountant,2022-05-17,4,3,Resigned,Remote,577616,"Lake Brittney",Albania,Mid_level,"Medium (5L-15L)"
EMP0000025,"Amanda Miller",IT,"IT Manager",2021-07-31,2,4,Active,Remote,2153098,Tammyview,Barbados,Mid_level,"High (15L-25L"
EMP0000026,"Craig Kelly",IT,"Software Engineer",2025-01-15,1,0,Resigned,Remote,1201087,Martinmouth,Switzerland,Junior,"Medium (5L-15L)"
EMP0000027,"Daniel Hernandez",Sales,"Sales Executive",2019-09-12,3,5,Active,On-site,742262,"Port Jacob","Falkland Islands (Malvinas)",Mid_level,"Medium (5L-15L)"
EMP0000028,"James Young",Marketing,"Marketing Executive",2020-11-17,2,4,Active,Remote,670863,Limouth,"Saint Vincent and the Grenadines",Mid_level,"Medium (5L-15L)"
EMP0000029,"Steven Castillo",Operations,"Supply Chain Manager",2023-08-04,2,2,Active,On-site,969155,Troyberg,Guadeloupe,Junior,"Medium (5L-15L)"
EMP0000030,"Kimberly Russo",Finance,"Finance Manager",2021-08-15,4,4,Active,Remote,1508236,"New Hollyhaven",Vietnam,Mid_level,"High (15L-25L"
EMP0000031,"Nathan Smith",IT,"Software Engineer",2019-02-13,4,6,Active,On-site,1076433,Anthonyburgh,Bahamas,Mid_level,"Medium (5L-15L)"
EMP0000032,"Jeffery Chapman",Sales,"Account Manager",2020-10-21,4,4,Active,On-site,512557,"New Tyler",Kazakhstan,Mid_level,"Medium (5L-15L)"
EMP0000033,"Cristian Thomas",IT,"IT Manager",2021-02-14,3,4,Active,Remote,2408177,"North Markbury","San Marino",Mid_level,"High (15L-25L"
EMP0000034,"Steve Carlson",IT,"Software Engineer",2020-04-25,5,5,Terminated,On-site,1039192,Grahamfurt,Jamaica,Mid_level,"Medium (5L-15L)"
EMP0000035,"Kathleen Shields",IT,"IT Manager",2023-07-26,1,2,Retired,On-site,2615626,"North Brianmouth",Zambia,Junior,"Executive (Above 25L)"
EMP0000036,"Amanda Mooney",IT,"Data Analyst",2024-04-05,4,1,Active,Remote,511161,Colehaven,Singapore,Junior,"Medium (5L-15L)"
EMP0000037,"Jennifer Conway",Marketing,"SEO Specialist",2024-12-11,4,0,Active,Remote,814964,"South Madison",Nigeria,Junior,"Medium (5L-15L)"
EMP0000038,"Doris Lambert",HR,"Talent Acquisition Specialist",2019-03-14,1,6,Active,On-site,892414,Ayalafurt,Estonia,Mid_level,"Medium (5L-15L)"
EMP0000039,"Jeffrey Lucas",IT,"Software Engineer",2021-10-20,1,3,Active,On-site,1054801,Thompsonport,Paraguay,Mid_level,"Medium (5L-15L)"
EMP0000040,"Emily Hudson",Finance,"Finance Manager",2021-05-25,2,4,Resigned,Remote,1448066,Ortizbury,Senegal,Mid_level,"Medium (5L-15L)"
EMP0000041,"Vanessa Rodriguez",Sales,"Sales Executive",2011-01-29,2,14,Active,Remote,865319,"West Paula",Nepal,Senior,"Medium (5L-15L)"
EMP0000042,"Justin Hendricks",IT,"Software Engineer",2015-12-31,1,9,Active,On-site,746812,Laurafort,Bahrain,Senior,"Medium (5L-15L)"
EMP0000043,"John Daniels",Marketing,"Marketing Executive",2019-03-25,4,6,Resigned,On-site,671963,"East Charles",Qatar,Mid_level,"Medium (5L-15L)"
EMP0000044,"Sandra Wolf",R&D,"Product Developer",2025-02-22,3,0,Active,On-site,1033879,"Lake Jennifer","United States Minor Outlying Islands",Junior,"Medium (5L-15L)"
EMP0000045,"Annette Mcdowell",Sales,"Sales Executive",2017-12-08,4,7,Resigned,On-site,845092,"Lake Heather",Dominica,Mid_level,"Medium (5L-15L)"
EMP0000046,"James Miller",Marketing,"SEO Specialist",2022-03-24,5,3,Active,Remote,768681,Melissafurt,"Brunei Darussalam",Mid_level,"Medium (5L-15L)"
EMP0000047,"Donna Estes",Operations,"Operations Director",2011-06-15,2,14,Active,On-site,982133,"East Tina",China,Senior,"Medium (5L-15L)"
EMP0000048,"Tom Mills",HR,"HR Executive",2024-01-31,1,1,Active,Remote,565467,Johnsonside,Ghana,Junior,"Medium (5L-15L)"
EMP0000049,"Chad Newton",IT,"DevOps Engineer",2015-10-15,3,9,Resigned,Remote,709525,"South Jerryhaven",Mongolia,Senior,"Medium (5L-15L)"
EMP0000050,"Gary Charles",Operations,"Supply Chain Manager",2024-09-25,1,0,Active,On-site,459800,Navarroberg,Switzerland,Junior,"Low(below 5L)"
EMP0000051,"Dylan Welch",Sales,"Account Manager",2011-08-11,4,14,Active,Remote,915341,"West Kevinfurt",Jordan,Senior,"Medium (5L-15L)"
EMP0000052,"Kevin Johnson",Marketing,"SEO Specialist",2017-05-14,2,8,Retired,Remote,997151,"South Davidburgh","Kyrgyz Republic",Senior,"Medium (5L-15L)"
EMP0000053,"Keith Diaz",HR,"HR Executive",2022-06-08,1,3,Active,On-site,327765,"New Pamela",Tokelau,Mid_level,"Low(below 5L)"
EMP0000054,"Allison Williams",Sales,"Sales Executive",2017-11-23,2,7,Active,On-site,603678,Robertborough,Bolivia,Mid_level,"Medium (5L-15L)"
EMP0000055,"Jeffrey Schwartz",HR,"Talent Acquisition Specialist",2024-04-12,3,1,Retired,Remote,949067,Isaiahport,Japan,Junior,"Medium (5L-15L)"
EMP0000056,"Pamela Gross",IT,"Software Engineer",2024-02-21,3,1,Resigned,Remote,1493640,Davidstad,Estonia,Junior,"Medium (5L-15L)"
EMP0000057,"Claire Martinez",IT,"DevOps Engineer",2020-01-17,5,5,Terminated,Remote,838341,Garciaton,"Libyan Arab Jamahiriya",Mid_level,"Medium (5L-15L)"
EMP0000058,"Alexander Mitchell",IT,CTO,2023-11-19,1,1,Active,On-site,706360,"South Charles",Iran,Junior,"Medium (5L-15L)"
EMP0000059,"Jessica Ellison",IT,"Data Analyst",2015-10-26,3,9,Active,On-site,1153931,"South Mark",Djibouti,Senior,"Medium (5L-15L)"
EMP0000060,"Lisa Mcintosh MD",IT,"Software Engineer",2016-08-09,2,9,Active,Remote,1608951,Wrightview,Guernsey,Senior,"High (15L-25L"
EMP0000061,"Ross Flores",IT,"Software Engineer",2025-03-31,2,0,Active,On-site,724230,"North Zacharyland",Zambia,Junior,"Medium (5L-15L)"
EMP0000062,"Kelly Myers",R&D,"Product Developer",2022-02-10,3,3,Active,On-site,985454,"Port Sethtown",Guyana,Mid_level,"Medium (5L-15L)"
EMP0000063,"Michael Gomez",IT,"Data Analyst",2015-11-08,1,9,Active,On-site,641799,"Lake Juliestad",Afghanistan,Senior,"Medium (5L-15L)"
EMP0000064,"Jaime Jackson",Finance,"Financial Analyst",2023-11-03,3,1,Active,On-site,1439081,"New Molly","Saint Pierre and Miquelon",Junior,"Medium (5L-15L)"
EMP0000065,"Dana Horton",HR,"Talent Acquisition Specialist",2024-08-15,2,0,Active,On-site,452360,"Port Michael",Gabon,Junior,"Low(below 5L)"
EMP0000066,"Christopher Irwin",HR,"HR Executive",2016-09-20,5,8,Resigned,Remote,308469,"South Toddport",Seychelles,Senior,"Low(below 5L)"
EMP0000067,"Ana Simmons",R&D,"Research Scientist",2016-09-02,5,8,Resigned,On-site,776228,"Lake Jason",Portugal,Senior,"Medium (5L-15L)"
EMP0000068,"Brian Short",Marketing,"Marketing Executive",2022-07-18,3,3,Active,On-site,1113271,"West Paul","Slovakia (Slovak Republic)",Mid_level,"Medium (5L-15L)"
EMP0000069,"Diana Combs",IT,"Software Engineer",2014-07-23,5,11,Resigned,Remote,1136918,"South Angelastad","Palestinian Territory",Senior,"Medium (5L-15L)"
EMP0000070,"Amanda Steele",Sales,"Sales Executive",2016-07-10,3,9,Resigned,On-site,701012,Floresborough,Lebanon,Senior,"Medium (5L-15L)"
EMP0000071,"Jason Mueller",IT,"Data Analyst",2018-10-11,3,6,Active,Remote,721366,Martinton,Paraguay,Mid_level,"Medium (5L-15L)"
EMP0000072,"Robert Phillips",Marketing,"SEO Specialist",2023-12-11,5,1,Resigned,On-site,634126,Francoburgh,Andorra,Junior,"Medium (5L-15L)"
EMP0000073,"Sara Pham",IT,"Data Analyst",2025-05-18,5,0,Active,Remote,777497,Castilloport,Tonga,Junior,"Medium (5L-15L)"
EMP0000074,"Mary Rowland",IT,"DevOps Engineer",2019-06-23,3,6,Active,Remote,739400,"West Markfurt",Albania,Mid_level,"Medium (5L-15L)"
EMP0000075,"Anthony Suarez MD",IT,"Software Engineer",2021-08-28,1,3,Active,Remote,978030,"New Christopher",Moldova,Mid_level,"Medium (5L-15L)"
EMP0000076,"Kristin Hodges",Marketing,"Content Strategist",2015-10-28,5,9,Active,On-site,1093462,Nelsontown,Anguilla,Senior,"Medium (5L-15L)"
EMP0000077,"Elizabeth Brown",R&D,"Research Scientist",2024-02-16,1,1,Active,Remote,548919,"North Rachel",Zimbabwe,Junior,"Medium (5L-15L)"
EMP0000078,"Scott Harrison",Sales,"Sales Executive",2016-05-19,5,9,Retired,Remote,614652,Susanton,Bermuda,Senior,"Medium (5L-15L)"
EMP0000079,"David Chen",IT,"Software Engineer",2018-06-26,5,7,Active,On-site,616692,Markberg,Turkey,Mid_level,"Medium (5L-15L)"
EMP0000080,"Debra Lucas",Operations,"Supply Chain Manager",2018-09-05,1,6,Active,On-site,683272,"South Hayley",Albania,Mid_level,"Medium (5L-15L)"
EMP0000081,"Bruce Burns",Finance,Accountant,2025-06-27,4,0,Active,On-site,435627,Frostshire,"Northern Mariana Islands",Junior,"Low(below 5L)"
EMP0000082,"David Powell",Finance,Accountant,2015-08-29,1,9,Resigned,On-site,552885,"Lake Erinmouth","Czech Republic",Senior,"Medium (5L-15L)"
EMP0000083,"Tricia Jimenez",Sales,"Business Development Manager",2020-03-29,1,5,Resigned,Remote,1608034,"South Tyrone","French Guiana",Mid_level,"High (15L-25L"
EMP0000084,"Douglas Robinson",IT,"DevOps Engineer",2018-05-29,5,7,Active,Remote,1017531,"South Sharonburgh",Burundi,Mid_level,"Medium (5L-15L)"
EMP0000085,"Daniel Singleton",Operations,"Operations Director",2025-07-22,2,0,Retired,Remote,988534,Johnsonland,"Saudi Arabia",Junior,"Medium (5L-15L)"
EMP0000086,"Scott Sims",IT,"Software Engineer",2021-03-28,3,4,Active,Remote,665014,Kevintown,Guam,Mid_level,"Medium (5L-15L)"
EMP0000087,"Cynthia Dennis",Marketing,"SEO Specialist",2016-08-21,4,8,Active,On-site,739277,Cheyenneshire,"Western Sahara",Senior,"Medium (5L-15L)"
EMP0000088,"Jennifer Hunt",Marketing,"Marketing Executive",2013-09-07,5,11,Active,On-site,811697,"New Amber",Lithuania,Senior,"Medium (5L-15L)"
EMP0000089,"Christopher Martin",Marketing,"Marketing Executive",2021-12-04,1,3,Resigned,Remote,443930,Jennifershire,Angola,Mid_level,"Low(below 5L)"
EMP0000090,"Donald Barr",Operations,"Logistics Coordinator",2018-07-11,4,7,Active,On-site,878513,Barrybury,Micronesia,Mid_level,"Medium (5L-15L)"
EMP0000091,"Steven Peters",IT,"DevOps Engineer",2023-11-26,5,1,Resigned,Remote,705315,Tarabury,Madagascar,Junior,"Medium (5L-15L)"
EMP0000092,"Robert Turner",Finance,Accountant,2025-01-24,5,0,Active,Remote,892717,Johnsonview,"Saint Kitts and Nevis",Junior,"Medium (5L-15L)"
EMP0000093,"Kayla Stanton",IT,"DevOps Engineer",2018-04-28,4,7,Resigned,On-site,638924,"West Christianstad",Guinea,Mid_level,"Medium (5L-15L)"
EMP0000094,"Melissa Soto",Marketing,"Marketing Executive",2012-08-29,4,12,Active,Remote,1171656,Garciachester,Uzbekistan,Senior,"Medium (5L-15L)"
EMP0000095,"Eric Sawyer",IT,"Software Engineer",2017-06-17,3,8,Active,On-site,1729436,"West Stephaniechester",Lebanon,Senior,"High (15L-25L"
EMP0000096,"Kevin Wilson",IT,"Software Engineer",2018-01-25,2,7,Active,On-site,1248724,"North Kevinbury",Yemen,Mid_level,"Medium (5L-15L)"
EMP0000097,"Robert Barton",Marketing,"Content Strategist",2018-06-25,4,7,Resigned,On-site,574729,"West Rachel",Iceland,Mid_level,"Medium (5L-15L)"
EMP0000098,"Nicholas Pratt",R&D,"Lab Technician",2012-03-31,4,13,Active,On-site,1150240,"Lake Sarahmouth","Saint Pierre and Miquelon",Senior,"Medium (5L-15L)"
EMP0000099,"Keith Brown",Operations,"Logistics Coordinator",2018-07-17,1,7,Active,Remote,724986,"East Dana",Gabon,Mid_level,"Medium (5L-15L)"
EMP0000100,"Joshua Hall",IT,"DevOps Engineer",2025-02-18,3,0,Active,On-site,584045,"North Melissaburgh",Qatar,Junior,"Medium (5L-15L)"
EMP0000101,"Johnny Shepard",Finance,Accountant,2023-02-02,4,2,Terminated,On-site,892140,"North Briannatown",Cuba,Junior,"Medium (5L-15L)"
EMP0000102,"Brandon Snyder",Finance,"Financial Analyst",2017-07-12,1,8,Resigned,On-site,1351062,"South Mollyton",Tanzania,Senior,"Medium (5L-15L)"
EMP0000103,"Cesar Morgan",IT,"DevOps Engineer",2021-04-16,4,4,Active,On-site,654677,Sellersfort,Myanmar,Mid_level,"Medium (5L-15L)"
EMP0000104,"Tamara Wilson",Finance,"Finance Manager",2023-01-10,2,2,Resigned,On-site,2118072,"South Stevenmouth","South Georgia and the South Sandwich Islands",Junior,"High (15L-25L"
EMP0000105,"Dwayne Colon",IT,"DevOps Engineer",2021-12-10,3,3,Active,On-site,894327,"Port Davidbury","South Africa",Mid_level,"Medium (5L-15L)"
EMP0000106,"Joseph Green",Sales,"Sales Executive",2020-06-13,3,5,Retired,Remote,687405,Kimberlyside,"French Guiana",Mid_level,"Medium (5L-15L)"
EMP0000107,"Gregory Lyons",Marketing,"SEO Specialist",2021-01-08,1,4,Active,On-site,806908,Hobbsfort,"Burkina Faso",Mid_level,"Medium (5L-15L)"
EMP0000108,"Traci Norman",Sales,"Business Development Manager",2023-11-13,3,1,Active,Remote,1631212,Floresport,"American Samoa",Junior,"High (15L-25L"
EMP0000109,"Mrs. Melissa Manning",R&D,"Research Scientist",2018-06-02,5,7,Active,Remote,612751,"West Caleb","Papua New Guinea",Mid_level,"Medium (5L-15L)"
EMP0000110,"Robert Cox",Sales,"Business Development Manager",2012-10-29,4,12,Resigned,On-site,1056152,Nathanside,"United Kingdom",Senior,"Medium (5L-15L)"
EMP0000111,"Christopher Kelly",Sales,"Account Manager",2022-08-30,5,2,Resigned,On-site,500185,Gabriellachester,Namibia,Junior,"Medium (5L-15L)"
EMP0000112,"Robert Garrett",Marketing,"Marketing Executive",2024-04-05,1,1,Active,On-site,1092065,"North Ericburgh","Libyan Arab Jamahiriya",Junior,"Medium (5L-15L)"
EMP0000113,"Joanna Santos",R&D,"Product Developer",2024-05-28,5,1,Active,Remote,657926,"Lake Kayla",Morocco,Junior,"Medium (5L-15L)"
EMP0000114,"Miguel Williams",Finance,CFO,2018-09-01,3,6,Active,Remote,883003,Christopherland,"Cook Islands",Mid_level,"Medium (5L-15L)"
EMP0000115,"Adam Williams",IT,"Software Engineer",2024-04-08,3,1,Active,On-site,1748535,Donnafort,Uzbekistan,Junior,"High (15L-25L"
EMP0000116,"Nicole Arnold",HR,"Talent Acquisition Specialist",2013-02-09,4,12,Active,On-site,1132600,Coxside,"Papua New Guinea",Senior,"Medium (5L-15L)"
